Year,Category,Nominee,Additional Info,Won?
2009,Actor -- Supporting Role,Christopher Plummer,The Last Station {'Tolstoy'},NO
2009,Actor -- Supporting Role,Stanley Tucci,The Lovely Bones {'George Harvey'},NO
2009,Actor -- Supporting Role,Christoph Waltz,Inglourious Basterds {'Col. Hans Landa'},YES
2009,Actress -- Leading Role,Sandra Bullock,The Blind Side {'Leigh Anne Tuohy'},YES
2009,Actress -- Leading Role,Helen Mirren,The Last Station {'Sofya'},NO
2009,Actress -- Leading Role,Carey Mulligan,An Education {'Jenny'},NO
2009,Actress -- Leading Role,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire {'Precious'},NO
2009,Actress -- Leading Role,Meryl Streep,Julie & Julia {'Julia Child'},NO
2009,Actress -- Supporting Role,Penlope Cruz,Nine {'Carla'},NO
2009,Actress -- Supporting Role,Vera Farmiga,Up in the Air {'Alex Goran'},NO
2009,Actress -- Supporting Role,Maggie Gyllenhaal,Crazy Heart {'Jean Craddock'},NO
2009,Actress -- Supporting Role,Anna Kendrick,Up in the Air {'Natalie Keener'},NO
2009,Actress -- Supporting Role,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire {'Mary'},YES
2009,Animated Feature Film,Coraline,Henry Selick,NO
2009,Animated Feature Film,Fantastic Mr. Fox,Wes Anderson,NO
2009,Animated Feature Film,The Princess and the Frog,John Musker and Ron Clements,NO
2009,Animated Feature Film,The Secret of Kells,Tomm Moore,NO
2009,Animated Feature Film,Up,Pete Docter,YES
2009,Art Direction,Avatar,Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair,YES
2009,Art Direction,The Imaginarium of Doctor Parnassus,Production Design: Dave Warren and Anastasia Masaro; Set Decoration: Caroline Smith,NO
2009,Art Direction,Nine,Production Design: John Myhre; Set Decoration: Gordon Sim,NO
2009,Art Direction,Sherlock Holmes,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer,NO
2009,Art Direction,The Young Victoria,Production Design: Patrice Vermette; Set Decoration: Maggie Gray,NO
2009,Cinematography,Avatar,Mauro Fiore,YES
2009,Cinematography,Harry Potter and the Half-Blood Prince,Bruno Delbonnel,NO
2009,Cinematography,The Hurt Locker,Barry Ackroyd,NO
2009,Cinematography,Inglourious Basterds,Robert Richardson,NO
2009,Cinematography,The White Ribbon,Christian Berger,NO
2009,Costume Design,Bright Star,Janet Patterson,NO
2009,Costume Design,Coco before Chanel,Catherine Leterrier,NO
2009,Costume Design,The Imaginarium of Doctor Parnassus,Monique Prudhomme,NO
2009,Costume Design,Nine,Colleen Atwood,NO
2009,Costume Design,The Young Victoria,Sandy Powell,YES
2009,Directing,Avatar,James Cameron,NO
2009,Directing,The Hurt Locker,Kathryn Bigelow,YES
2009,Directing,Inglourious Basterds,Quentin Tarantino,NO
2009,Directing,Precious: Based on the Novel 'Push' by Sapphire,Lee Daniels,NO
2009,Directing,Up in the Air,Jason Reitman,NO
2009,Documentary (Feature),Burma VJ,Anders stergaard and Lise Lense-Mller,NO
2009,Documentary (Feature),The Cove,Louie Psihoyos and Fisher Stevens,YES
2009,Documentary (Feature),"Food, Inc.",Robert Kenner and Elise Pearlstein,NO
2009,Documentary (Feature),The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Judith Ehrlich and Rick Goldsmith,NO
2009,Documentary (Feature),Which Way Home,Rebecca Cammisa,NO
2009,Documentary (Short Subject),China's Unnatural Disaster: The Tears of Sichuan Province,Jon Alpert and Matthew O'Neill,NO
2009,Documentary (Short Subject),The Last Campaign of Governor Booth Gardner,Daniel Junge and Henry Ansbacher,NO
2009,Documentary (Short Subject),The Last Truck: Closing of a GM Plant,Steven Bognar and Julia Reichert,NO
2009,Documentary (Short Subject),Music by Prudence,Roger Ross Williams and Elinor Burkett,YES
2009,Documentary (Short Subject),Rabbit  la Berlin,Bartek Konopka and Anna Wydra,NO
2009,Film Editing,Avatar,"Stephen Rivkin, John Refoua and James Cameron",NO
2009,Film Editing,District 9,Julian Clarke,NO
2009,Film Editing,The Hurt Locker,Bob Murawski and Chris Innis,YES
2009,Film Editing,Inglourious Basterds,Sally Menke,NO
2009,Film Editing,Precious: Based on the Novel 'Push' by Sapphire,Joe Klotz,NO
2009,Foreign Language Film,Ajami,Israel,NO
2009,Foreign Language Film,The Milk of Sorrow,Peru,NO
2009,Foreign Language Film,A Prophet,France,NO
2009,Foreign Language Film,The Secret in Their Eyes,Argentina,YES
2009,Foreign Language Film,The White Ribbon,Germany,NO
2009,Makeup,Il Divo,Aldo Signoretti and Vittorio Sodano,NO
2009,Makeup,Star Trek,"Barney Burman, Mindy Hall and Joel Harlow",YES
2009,Makeup,The Young Victoria,Jon Henry Gordon and Jenny Shircore,NO
2009,Music (Scoring),Avatar,James Horner,NO
2009,Music (Scoring),Fantastic Mr. Fox,Alexandre Desplat,NO
2009,Music (Scoring),The Hurt Locker,Marco Beltrami and Buck Sanders,NO
2009,Music (Scoring),Sherlock Holmes,Hans Zimmer,NO
2009,Music (Scoring),Up,Michael Giacchino,YES
2009,Music (Song),The Princess and the Frog,Music and Lyric by Randy Newman,NO
2009,Music (Song),The Princess and the Frog,Music and Lyric by Randy Newman,NO
2009,Music (Song),Paris 36,Music by Reinhardt Wagner; Lyric by Frank Thomas,NO
2009,Music (Song),Nine,Music and Lyric by Maury Yeston,NO
2009,Music (Song),Crazy Heart,Music and Lyric by Ryan Bingham and T Bone Burnett,YES
2009,Best Picture,Avatar,"James Cameron and Jon Landau, Producers",NO
2009,Best Picture,The Blind Side,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers",NO
2009,Best Picture,District 9,"Peter Jackson and Carolynne Cunningham, Producers",NO
2009,Best Picture,An Education,"Finola Dwyer and Amanda Posey, Producers",NO
2009,Best Picture,The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",YES
2009,Best Picture,Inglourious Basterds,"Lawrence Bender, Producer",NO
2009,Best Picture,Precious: Based on the Novel 'Push' by Sapphire,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers",NO
2009,Best Picture,A Serious Man,"Joel Coen and Ethan Coen, Producers",NO
2009,Best Picture,Up,"Jonas Rivera, Producer",NO
2009,Best Picture,Up in the Air,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers",NO
2009,Short Film (Animated),French Roast,Fabrice O. Joubert,NO
2009,Short Film (Animated),Granny O'Grimm's Sleeping Beauty,Nicky Phelan and Darragh O'Connell,NO
2009,Short Film (Animated),The Lady and the Reaper (La Dama y la Muerte),Javier Recio Gracia,NO
2009,Short Film (Animated),Logorama,Nicolas Schmerkin,YES
2009,Short Film (Animated),A Matter of Loaf and Death,Nick Park,NO
2009,Short Film (Live Action),The Door,Juanita Wilson and James Flynn,NO
2009,Short Film (Live Action),Instead of Abracadabra,Patrik Eklund and Mathias Fjellstrm,NO
2009,Short Film (Live Action),Kavi,Gregg Helvey,NO
2009,Short Film (Live Action),Miracle Fish,Luke Doolan and Drew Bailey,NO
2009,Short Film (Live Action),The New Tenants,Joachim Back and Tivi Magnusson,YES
2009,Sound,Avatar,"Christopher Boyes, Gary Summers, Andy Nelson and Tony Johnson",NO
2009,Sound,The Hurt Locker,Paul N.J. Ottosson and Ray Beckett,YES
2009,Sound,Inglourious Basterds,"Michael Minkler, Tony Lamberti and Mark Ulano",NO
2009,Sound,Star Trek,"Anna Behlmer, Andy Nelson and Peter J. Devlin",NO
2009,Sound,Transformers: Revenge of the Fallen,"Greg P. Russell, Gary Summers and Geoffrey Patterson",NO
2009,Sound Editing,Avatar,Christopher Boyes and Gwendolyn Yates Whittle,NO
2009,Sound Editing,The Hurt Locker,Paul N.J. Ottosson,YES
2009,Sound Editing,Inglourious Basterds,Wylie Stateman,NO
2009,Sound Editing,Star Trek,Mark Stoeckinger and Alan Rankin,NO
2009,Sound Editing,Up,Michael Silvers and Tom Myers,NO
2009,Visual Effects,Avatar,"Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones",YES
2009,Visual Effects,District 9,"Dan Kaufman, Peter Muyzers, Robert Habros and Matt Aitken",NO
2009,Visual Effects,Star Trek,"Roger Guyett, Russell Earl, Paul Kavanagh and Burt Dalton",NO
2009,Writing,District 9,Written by Neill Blomkamp and Terri Tatchell,NO
2009,Writing,An Education,Screenplay by Nick Hornby,NO
2009,Writing,In the Loop,"Screenplay by Jesse Armstrong, Simon Blackwell, Armando Iannucci, Tony Roche",NO
2009,Writing,Precious: Based on the Novel 'Push' by Sapphire,Screenplay by Geoffrey Fletcher,YES
2009,Writing,Up in the Air,Screenplay by Jason Reitman and Sheldon Turner,NO
